platform,case,stack,capture_mechanism,requested_source_type,capture_path_trusted_by_platform,image_sha256,image_bytes,capture_geometry,n_surfaces_enumerated,n_contributing_surfaces,active_surface_id,active_surface_native,platform_reported_identity,platform_reported_title,active_pid,pid_source,executable_path,command_line,process_uid,open_regular_files,holds_declared_target_open,compositor_reports_displayed_resource,metadata_capture_skew_ms,atomicity_consistent,field_observation_failures,ground_truth
x11,P,"{""x11"": ""up"", ""dbus"": ""up"", ""wayland"": ""up"", ""portal"": ""up""}",X11 root-window pixel grab (ImageMagick import),root window / full screen,False,314f00e1c77cfc840242f0753a4031f12f36fe700d003db9017997c1ed10119b,18321,1280x1024,2,2,0x00a00003,x11,eog,quarterly_report.png,180,X-Resource XResQueryClientIds,/usr/bin/python3.11,python3 /lab/work/substitute_surface.py eog quarterly_report.png,1000,[],False,False,207.89,True,0,SUBSTITUTE
wayland,P,"{""x11"": ""up"", ""dbus"": ""up"", ""wayland"": ""up"", ""portal"": ""up""}",wlr-screencopy-unstable-v1 via grim,output:HEADLESS-1,True,91650fa2ad559e37800cc6d02410555cdd3372298932fc4be6a788ea726a6154,25505,1280x1024,2,2,6,wayland,eog,quarterly_report.png,357,sway IPC get_tree (compositor-observed client pid),/usr/bin/python3.11,python3 /lab/work/substitute_surface.py eog quarterly_report.png,1000,"[""/memfd:wayland-cursor (deleted)""]",False,False,99.7,True,0,SUBSTITUTE
x11,R,"{""x11"": ""up"", ""dbus"": ""up"", ""wayland"": ""up"", ""portal"": ""up""}",X11 root-window pixel grab (ImageMagick import),root window / full screen,False,c4d0da448283da94fabd1d4e48012f13a49c5fc9a59f55d4d2461601e987756c,26233,1280x1024,1,1,0x00800004,x11,Eog,quarterly_report.png,224,X-Resource XResQueryClientIds,/usr/bin/eog,eog /lab/work/quarterly_report.png,1000,[],False,False,137.35,True,0,SUBSTITUTE
wayland,R,"{""x11"": ""up"", ""dbus"": ""up"", ""wayland"": ""up"", ""portal"": ""up""}",wlr-screencopy-unstable-v1 via grim,output:HEADLESS-1,True,b73fe5968318934c363085499407d1b0e47b8ed606d03547c23a0cb7a723c44d,31975,1280x1024,1,1,7,wayland,eog,quarterly_report.png,392,sway IPC get_tree (compositor-observed client pid),/usr/bin/eog,eog /lab/work/quarterly_report.png,1000,"[""/memfd:wayland-cursor (deleted)""]",False,False,80.44,True,0,SUBSTITUTE
